 x  			 y  			 z  			
4.7224			26.3467			0.8146			
39.5061			12.5130			36.3266			
46.1555			48.9963			 *  			
41.3964			32.4231			22.8190			
11.2460			11.4376			46.0096			
48.5258			48.8821			30.7330			
3.4939			5.6211			46.6077			
8.7943			7.1707			39.7552			
19.2775			36.9839			3.2648			
0.0548			4.7048			6.5211			
24.1851			9.1001			48.7582			
 *  			38.2260			34.4061			
35.6607			17.8920			23.4378			
18.7713			4.8572			25.7272			
11.0675			9.1797			28.0413			
32.9881			21.2519			1.3397			
30.2033			20.9353			49.9985			
13.9422			7.6499			 *  			
 *  			3.9861			7.2185			
15.5773			43.9696			3.6765			
26.5051			28.8710			16.9714			
2.9106			42.5534			35.2163			
34.2188			8.8894			47.2309			
32.7055			6.5629			5.6061			
30.8293			2.0827			0.9225			
44.7537			9.5692			 *  			
11.7042			31.6876			29.6970			
 *  			15.2049			45.6630			
39.8755			9.2416			16.7007			
32.3210			 *  			19.3089			
0.2193			23.7030			16.6234			
49.3181			31.1695			26.7546			
36.9641			38.9347			44.9924			
11.9963			4.1812			42.0441			
10.2869			5.7457			17.8584			
0.5167			 *  			-2.6713			
26.5658			9.3294			23.4312			
28.5294			4.7616			 *  			
47.2495			32.3812			35.1476			
26.2686			22.2214			16.2569			
 *  			15.1326			37.0520			
5.1441			23.5474			39.8420			
21.3113			14.4079			38.5197			
0.5786			41.2345			29.2971			
14.4220			 *  			49.4667			
 *  			39.1273			3.6250			
47.7925			39.0971			1.6458			
43.1586			42.6995			20.0839			
 *  			3.2423			49.4597			
22.0529			46.1763			 *  			
12.0094			43.2778			 *  			
47.8540			23.0562			45.2062			
26.5568			34.7384			44.6988			
38.2102			27.2003			38.5040			
36.1560			12.2832			22.6186			
35.7928			24.3918			33.3926			
32.2296			37.1433			29.9074			
24.6452			28.6598			39.0167			
28.8060			 *  			13.8409			
24.0750			13.4334			26.6359			
7.8185			3.5377			36.8325			
3.0737			19.9018			11.1697			
 *  			46.5942			0.2470			
20.3750			33.4773			17.0114			
43.8968			28.6650			48.7009			
26.0083			4.7741			16.5696			
8.6501			2.4428			40.5034			
2.0234			0.7015			7.3987			
25.1092			43.2040			13.2607			
15.3819			38.2357			22.5053			
 *  			13.5309			-1.5380			
14.2437			33.7648			30.6079			
2.8859			 *  			5.3766			
22.6123			6.3682			40.9786			
32.0130			 *  			21.5288			
1.5158			4.2336			3.8843			
14.4181			19.7437			41.3264			
45.1931			36.9477			 *  			
45.9635			26.4807			44.2646			
43.6550			37.2297			4.7684			
20.2695			29.2436			20.8950			
22.1315			32.8339			 *  			
0.0160			 *  			40.2520			
28.7374			18.6938			46.5550			
 *  			4.9936			18.5304			
7.2725			32.9057			11.9453			
19.7538			2.8621			39.6551			
46.7332			 *  			19.3855			
25.5125			12.7238			42.9196			
3.0223			46.9306			27.3683			
30.9730			4.1237			30.7970			
48.2953			41.5786			24.2501			
24.1678			20.8215			36.4196			
45.9261			44.4383			14.3075			
41.9048			36.1011			7.4684			
41.4286			7.5299			36.4593			
17.1770			13.8255			3.1435			
8.9332			39.5922			9.9938			
4.2249			48.9384			32.3586			
 *  			21.1476			-1.1514			
16.2659			29.3597			44.4677			
37.9399			26.9064			32.7353			
49.5503			3.3433			12.8048			
1.5086			0.1603			26.8361			
20.9260			44.1611			3.5885			
 *  			13.1456			6.4569			
6.6446			 *  			49.0581			
6.8284			16.9517			 *  			
19.5768			35.7054			2.9699			
23.1448			39.5647			9.3206			
4.6844			11.5509			0.5257			
14.1071			24.7880			 *  			
30.1691			23.2808			 *  			
34.4782			33.1578			26.7038			
39.4465			 *  			12.6245			
17.8136			42.3209			30.3696			
16.7262			15.8903			31.9973			
 *  			29.1186			28.1107			
32.4768			48.6857			24.9516			
12.9512			30.3812			33.5483			
16.1154			44.5140			 *  			
 *  			9.2788			12.8270			
35.4955			44.2788			35.8241			
23.9077			47.8567			8.6266			
26.0751			27.8990			32.5104			
28.0818			11.6597			12.7830			
3.6707			27.8405			26.7563			
39.9185			6.9363			4.4855			
31.4992			12.1395			34.5691			
2.5754			22.4224			14.8439			
3.7698			13.9434			 *  			
12.4855			7.9160			16.1000			
10.2269			21.2120			46.9729			
13.5101			17.2258			16.0885			
13.6354			27.0496			22.4034			
24.3990			5.3623			45.8411			
36.8829			43.5778			20.5361			
27.1445			20.8324			35.6323			
10.5139			2.3788			43.4061			
8.0554			40.4770			18.7386			
17.6814			43.8171			12.0492			
36.4184			40.4274			23.0475			
12.5208			39.6788			42.8017			
10.7203			0.2138			19.4449			
34.7502			16.3445			38.5086			
30.2709			 *  			-0.3648			
26.3212			45.9545			2.9589			
28.9807			15.0681			39.9254			
26.2647			49.2491			30.9201			
5.9562			 *  			1.9527			
49.2860			47.9430			43.0302			
37.2254			26.2981			 *  			
39.0659			21.1207			19.2455			
45.8084			9.1814			3.4630			
 *  			7.9493			39.2794			
 *  			43.6559			15.5425			
5.9801			11.8509			0.6083			
6.8483			13.2187			30.1796			
28.5207			12.3618			 *  			
22.8324			25.2075			35.6857			
46.4663			 *  			3.8841			
45.4277			 *  			14.4674			
10.1659			5.7373			14.6766			
